ds,trend
2020-01-01,77.08231994
2020-01-02,76.54422214465687
2020-01-03,76.00612434931374
2020-01-06,74.39183096328433
2020-01-07,73.85373316794119
2020-01-08,73.31563537259804
2020-01-09,72.77753757725492
2020-01-10,72.23943978191177
2020-01-13,70.62514639588237
2020-01-14,70.08704860053922
2020-01-15,69.54895080519609
2020-01-16,69.01085300985295
2020-01-17,68.47275521450982
2020-01-20,66.8584618284804
2020-01-21,66.32036403313727
2020-01-22,65.78226623779412
2020-01-23,65.24416844245098
2020-01-24,64.70607064710785
2020-01-27,63.09177726107844
2020-01-28,62.5536794657353
2020-01-29,62.015581670392166
2020-01-30,61.47748387504903
2020-01-31,60.93938607970589
2020-02-03,59.325092693676474
2020-02-04,58.78699489833335
2020-02-05,58.248897102990206
2020-02-06,57.710799307647065
2020-02-07,57.17270151230394
2020-02-10,55.55840812627452
2020-02-11,55.02031033093138
2020-02-12,54.482212535588246
2020-02-13,53.94411474024511
2020-02-14,53.40601694490197
2020-02-17,51.791723558872555
2020-02-18,51.25362576352942
2020-02-19,50.71552796818629
2020-02-20,50.177430172843145
2020-02-21,49.48754389992647
2020-02-24,47.41788508117648
2020-02-25,46.72799880825981
2020-02-26,46.03811253534313
2020-02-27,45.34822626242647
2020-02-28,44.658339989509805
2020-03-02,42.588681170759806
2020-03-03,41.898794897843146
2020-03-04,41.20890862492647
2020-03-05,40.51902235200981
2020-03-06,39.829136079093146
2020-03-09,37.75947726034314
2020-03-10,37.06959098742647
2020-03-11,36.379704714509806
2020-03-12,35.68981844159314
2020-03-13,34.99993216867647
2020-03-16,32.93027334992647
2020-03-17,32.24038707700981
2020-03-18,31.55050080409314
2020-03-19,30.860614531176473
2020-03-20,30.170728258259803
2020-03-23,28.101069439509807
2020-03-24,27.41118316659314
2020-03-25,26.721296893676477
2020-03-26,26.031410620759807
2020-03-27,25.341524347843144
2020-03-30,23.271865529093137
2020-03-31,22.581979256176474
2020-04-01,21.892092983259804
2020-04-02,21.20220671034314
2020-04-03,20.512320437426474
2020-04-06,18.44266161867648
2020-04-07,17.752775345759815
2020-04-08,17.06288907284314
2020-04-09,16.37300279992647
2020-04-13,13.613457708259803
2020-04-14,12.923571435343145
2020-04-15,13.439053928357856
2020-04-16,13.954536421372566
2020-04-17,14.47001891438727
2020-04-20,16.016466393431386
2020-04-21,16.531948886446088
2020-04-22,17.047431379460804
2020-04-23,17.56291387247551
2020-04-24,18.07839636549021
2020-04-27,19.624843844534325
2020-04-28,20.140326337549045
2020-04-29,20.655808830563746
2020-04-30,21.171291323578448
2020-05-01,21.686773816593153
2020-05-04,23.233221295637268
2020-05-05,23.748703788651984
2020-05-06,24.26418628166669
2020-05-07,24.77966877468139
2020-05-11,26.841598746740218
2020-05-12,27.357081239754926
2020-05-13,27.87256373276962
2020-05-14,28.388046225784333
2020-05-15,28.903528718799027
2020-05-18,30.449976197843156
2020-05-19,30.96545869085787
2020-05-20,31.480941183872563
2020-05-21,31.99642367688727
2020-05-22,32.51190616990197
2020-05-25,34.058353648946095
2020-05-26,34.57383614196081
2020-05-27,35.089318634975506
2020-05-28,35.604801127990214
2020-05-29,36.12028362100491
2020-06-01,37.66673110004904
2020-06-02,38.18221359306375
2020-06-03,38.697696086078444
2020-06-04,39.21317857909314
2020-06-05,39.35737938730392
2020-06-08,39.78998181193628
2020-06-09,39.93418262014706
2020-06-10,40.078383428357846
2020-06-11,40.22258423656863
2020-06-12,40.36678504477941
2020-06-15,40.79938746941177
2020-06-16,40.943588277622545
2020-06-17,41.08778908583333
2020-06-18,41.23198989404412
2020-06-19,41.37619070225491
2020-06-22,41.80879312688725
2020-06-23,41.952993935098036
2020-06-24,42.09719474330882
2020-06-25,42.24139555151961
2020-06-26,42.38559635973039
2020-06-29,42.81819878436274
2020-06-30,42.96239959257353
2020-07-01,43.106600400784316
2020-07-02,43.2508012089951
2020-07-03,43.395002017205876
2020-07-06,43.82760444183824
2020-07-07,43.971805250049016
2020-07-08,44.1160060582598
2020-07-09,44.26020686647059
2020-07-10,44.40440767468137
2020-07-13,44.83701009931372
2020-07-14,44.98121090752451
2020-07-15,45.1254117157353
2020-07-16,45.26961252394608
2020-07-17,45.41381333215686
2020-07-20,45.84641575678921
2020-07-21,45.990616565
2020-07-22,46.13481737321079
2020-07-23,46.27901818142157
2020-07-24,46.42321898963238
2020-07-27,45.88584258595591
2020-07-28,45.70671711806376
2020-07-29,45.5275916501716
2020-07-30,45.34846618227944
2020-07-31,45.169340714387275
2020-08-03,44.63196431071081
2020-08-04,44.45283884281866
2020-08-05,44.2737133749265
2020-08-06,44.094587907034345
2020-08-07,43.91546243914218
2020-08-10,43.37808603546572
2020-08-11,43.19896056757356
2020-08-12,43.0198350996814
2020-08-13,42.84070963178924
2020-08-14,42.66158416389708
2020-08-17,42.12420776022062
2020-08-18,41.94508229232846
2020-08-19,41.76595682443631
2020-08-20,41.586831356544145
2020-08-21,41.407705888651996
2020-08-24,40.870329484975514
2020-08-25,40.69120401708336
2020-08-26,40.51207854919121
2020-08-27,40.332953081299046
2020-08-28,40.1538276134069
2020-09-01,39.437325741838265
2020-09-02,39.25820027394611
2020-09-03,39.07907480605395
2020-09-04,38.899949338161804
2020-09-07,38.36257293448532
2020-09-08,38.183447466593165
2020-09-09,38.00432199870101
2020-09-10,37.82519653080885
2020-09-11,37.6460710629167
2020-09-14,37.10869465924023
2020-09-15,36.929569191348065
2020-09-16,36.750443723455916
2020-09-17,36.7683242809314
2020-09-18,36.7862048384069
2020-09-21,36.83984651083337
